transcription,conversation_no
"No, no I was just like you, I thought it will be all peaches and roses and- and sand in our toes and wind in our hair and the fish will always come. And the bills will always magically pay themselves and we will have three fat rosy kids and we will be, HAHA baby the joke is on us.",132
Because you know what Carla?  You know what you get?  This.,132
This what?  What is this?  This isn't even anything.,132
Yes it is.,132
"Sure, this is standing.  This is waiting.  This is fighting.",132
Right.,132
But this isn't anything like I thought it would be.,132
"No, I know me either.",132
"I mean it is just this , I mean it includes a lot and everything and you know it's the sand and it's the full moon and I just-I am sorry but I couldn't help wishing I was somewhere else.",132
Maybe if you are with somebody else too?,132
I didn't say that.,132
"No, I know, but.  I know I don't make you happy.",132
"For heaven's sake Augie, wherever I am I always wanted to be with you.",132
Yeah?,132
"For heaven's sake, don't you know that?",132
"Whatever I am doing, I wanted to be with you.  I mean you are probably the one who wishes you were with somebody else, somebody who didn't take everything so hard and who knows how to enjoy herself.",132
"Actually, now that you mention it.  No, I don't.",132
Good.  So maybe we are on the wrong spot but we are with the right person.,132
I don't know.  Seems like a pretty good spot to me I mean look at the view of the moon you got from here.,132
"Yes, I did notice that.  It does look really beautiful on the water.  The gold white moon.",132
"Well, look what we have got here.",132
"Augie, you bought refreshments.",132
"Well, it's not champagne.",132
Well than we don't need glasses.,132
Are you still cold?  You still want to go home?,132
"No, I am beginning to think that maybe this is the spot after all.",132
"Shh, If we're very quiet, the fish might come.",132
Or not.,132
Or not.,132
Good God.,133
You think it's them?,133
I wonder.,133
"Freda is the only one who knows we're up here, and she wouldn't call up.",133
It must be them then.,133
What will be do?,133
"We're all right, darling, aren't we whatever happens?",133
Now and always my sweet.,133
I don't care then.,133
It was bound to happen sooner or later.,133
Hello?  Hello?  What?  Wrong number.,133
"Oh, it sent shivers up my spine.",133
"Oh, what shall we do if they suddenly walk in on us?",133
Behave exquisitely.,133
With the most perfect poise.,133
"Yes, I shall probably do a Court Curtsey.",133
"[LAUGHTER] Oh, the things that ought to matter most dreadfully don't seem to matter at all when one's happy, do they?",133
Um... It's a pity that one can't stay this way forever.,133
"Darling, don't say that.",133
"Well, it's true.",133
The whole business is really rather ridiculous.,133
"Meaning that sacred and beautiful thing, love?",133
Meaning exactly that.,133
"What does it all mean?  That's what I asked myself in my ceaseless quest for ultimate truth.  Dear God, what does it all mean?",133
Don't laugh at me; I'm serious.,133
"You mustn't be serious my dear one, that's just what they want.",133
Who's they?,133
"All the futile mortals who try to make life unbearable.  Laugh at them.  Be flippant.  Laugh at everything, all their sacred shibboleths.  Flippancy brings out the acid in their damned sweetness and light.",133
"Well, if I laugh at everything, I must laugh at us, too.",133
Certainly you must.  We're figures of fun alright [LAUGHTER].,133
"Well, what if-what happens when our love-",133
"How long will it last, this overbearing love of ours?",133
Who knows?,133
"Well, shall we always want to bicker and fight?",133
"No, that fire will fade along with our passion.",133
"Oh, dear, shall we like that?",133
It all depends on how well we played.,133
"Well, what if one of us dies, does the other laugh then?",133
"Yes, yes, with all his might.",133
"Well, that's rather serious, isn't it?",133
"No, no it isn't.  Death is very laughable.  Come such a cunning little mystery all done with mirrors.",133
"My dear, I do believe you're talking nonsense.",133
"no, So is everyone else in the long run.  Let's be superficial and pity the poor philosophers.  Let's blow trumpets and squeakers and --",133
enjoy the party as long as we can like very little quite idiotic schoolchildren. [garbage] Let's savor the delight of the moment.,133
"Darling, come here and kiss me before your body rots and worms pop in and out of your eye sockets.",133
"Elliot, worms don't pop.",133
"I don't mind what you do, see, you could paint your body green all over and dance naked through the Place Vendome and run off with every man in the world.  And I shan't say a word as long as I know that you love me best.",133
"Oh, thank you dear.  And the same goes for you except that if I so much as see you looking at another woman, I'll kill you.",133
Do you remember that awful scene we had in Venice?,133
Which particular one?,133
The one where you bought that little painted wooden snake and put it on my bed.,133
Charles.  That was his name.  He did wriggle so beautifully.,133
"Horrible thing, I hate it.",133
I know.  You threw him out the window into the canal.  I don't think I'll ever forgive you for that.,133
How long did that row last?,133
It went on intermittently for days.,133
The worst one was in Cannes when your curling irons burnt a hole in my new dressing gown.,133
"Uh- It burned all the towels in the bathroom, too.",133
"Oh, that was quite a rouser, wasn't it?",133
That was the first time you ever hit me.,133
"Oh, I didn't hit you very hard.",133
And then the manager came in and found us rolling around on the floor biting and scratching like panthers.,133
[LAUGHTER] I shall never forget his face.,133
"Oh, ridiculous. utterly ridiculous",133
"Oh, we were very much younger then.",133
And very much sillier.,133
"Oh, As a matter of fact, the real cause of that row was Peter Burden.",133
You knew there was nothing.,133
"As a matter of fact, the real cause of that row was Peter Burden.",134
You knew there was nothing in that.,134
I knew nothing of the sort.  You accepted presents from him.,134
Only a trivial little broach.,134
"I remember it well, covered in diamonds in the worst possible taste.",134
"No, not at all.  I-I still have it.  I wear it quite often.",134
You went out of your way to torture me over Peter Burden.,134
You worked the whole thing up in your jealous imagination.,134
"You must admit that he was in love with you, wasn't he?",134
"maybe just a little, but--",134
You let him kiss you.  You said you did.,134
And what of it?,134
What of it?,134
"Well, I- he got a lot of pleasure out of it and it didn't hurt me.",134
What about me?,134
"Well, if you hadn't been so nosey and suspicious, you never would have heard about it.",134
"Well, that's a nice point of view I must say.",134
I'm growing quite tired and bored of this conversation.,134
"So am I, bored stiff.  Would you like some brandy?",134
No.,134
I'll have a little I think.,134
I don't see why you want any.  You've already had three glasses.,134
"No particular reason, besides, they were very small ones.",134
"Well, it seems silly to go on and on in such a thing.",134
You can hardly call three liqueur glasses of brandy in a whole evening going on and on.,134
It's becoming a habit with you.,134
You needn't be so grand simply because you don't happen to want any at the moment.,134
Don't be so stupid.,134
"Really, Amanda.",134
"Going out somewhere, dear?",134
Just making myself fascinating for you.,134
"Oh, that reply has broken my heart.",134
It's the woman's job to allure the man.  Why don't you watch me for a moment?,134
"As a matter of fact, that is perfectly true.",134
"No, it's not.",134
"Oh, yes it is.",134
"Oh, Do shut up.",134
It's a pity you didn't take a little more brandy.  It might have made you a little less disagreeable.,134
"Um, It doesn't seem to have worked such wonders with you.",134
"Well, snap, snap, snap like a little adder.",134
"adder don't snap, they sting.",134
"Nonsense, they have a little bag of venom behind their fangs and they snap.",134
They sting.,134
They snap.,134
"I don't care if they bark and roll around like hoops, okay.",134
[BREATHING],134
Did you see much of Peter Burden after the divorce?,134
"Yes, I did quite a bit.",134
I suppose you let him kiss you a good deal more then.,134
Mind your own business.,134
"You must have a riotous time, no restraint at all, very enjoyable.  I mean, you never had much anyway.",134
"Oh dear, you really are becoming quite insufferable.  I would imagine it's because you're drunk.",134
I'm not the least bit drunk.,134
I think I mentioned once before that I had only three-minute liqueur glasses of brandy the entire evening long.  A child of two could not be drunk on that.,134
"Oh no, on the contrary, a child of two could get violently drunk on only one glass.",134
"Oh, very interesting.  How about a child of three or a child of six?  How about a child of nine?",134
"Oh, You are so insufferable.  Do you stop.",134
"Oh, This is very interesting.  We- we might get a splendid debate going about this intemperate tots.",134
"Not very funny, dear, you better have some more brandy.",134
"Oh, very good idea.  I will.",134
Ugh.,134
You better turn that off I think.,134
Why?,134
It's very late and it will disturb the people upstairs.,134
There aren't any people upstairs; it's a photographer's studio.,134
"Well, there are people downstairs I suppose.",134
They're away in Tunis.,134
It is not time of year for Tunis.,134
Turn it on again.,134
I'll do no such thing.,134
"Fine, if you insist on being completely insolent.",134
Turn it off.  It is driving me mad.,134
"Well, do try to control yourself darling.",134
Turn it off.,134
You really do need to develop uh a clearer head.,134
Turn it off.,134
I- I hate you.,134
Amanda-- Listen- Listen-,134
I hate you.,134
"No, no.  I'm tired of listening to you.  You're boorish and idiotic and completely overbearing.",134
Very music- amusing indeed.,134
"Yeah, very amusing.  Let me go.  I'm getting out of here.  I can't believe I intended to marry you.",134
"You are a vile tempered, loose living, wicked little beast, and I never want to set eyes on you again.",134
"Oh, marry you again?  I must have been insane.  What was I thinking?  I mean, you're completely outrageous.",134
"Shut up, shut up.  I wouldn't marry you again if you came crawling to me on bended knee. You're a mean, evil-minded little vampire and I hope to God I never set eyes on you again.",134
Beast; brute; cad; whore,134
Can I help you?,135
"Yes, I'm um- just getting my I.D.  I need a new I.D.",135
"Oh, this- this form that you have is the wrong form.  You need to go over to the other line on the other side of the D.M.V..",135
What do you mean?  I filled out my forms and I rushed to get my I.D.,135
"Right, but this is the wrong form.  Somebody gave you the wrong form.",135
The wrong form?,135
"Yeah.  So, I can't -- I can't do anything-",135
What's wrong about this form?  It says new I.D. on it.,135
"No, but this is for um- replacements and you need a new -- whole new license as a California --",135
What's the difference?  What's the difference between that form and this form?,135
"Sir, don't get an attitude with me.",135
"I'm not getting a -- well, you wait in this line and not get an attitude.",135
"No, I understand and there are a lot of people here.  But what I'm telling you is that it's different for different states and since your getting a new license in the state of California -- You have to fill out a different form than you did.",135
yeah.,135
right.,135
"Well then, when I showed them my I.D. before and I said I had to get a new I.D, why didn't they tell me to fill out the right form?",135
I don't know.  I don't know who told you.  It wasn't me.,135
"Well, it was this girl standing right next to you.  Can we ask her why she didn't let me fill out the right form?",135
"You- You can ask her if you want, but she's busy and she probably won't answer you.",135
This is ridiculous.  I've been here for forty five minutes. Just standing in this one line. I took fifteen minutes to fill out that form.,135
I know.,135
"Sir, you- I mean",135
Do you know how long it's gonna take me to start all over and fill out the new form?,135
You can waist as much as you want,135
Yeah.  I know it's gonna take a minute.  But you-- so you might as well get started now.,135
Might as well get started now? but Just take this one.,135
"I can't take this one, sir. this is the wrong form.",135
Why can't we just -- you know what?  How about if we just pretend that I'm getting a -- renewing my California I.D. and we just don't tell anybody -- That I'm getting a new one from a different state?,135
"Sir, please don't waste my time.",135
There is nothing I can do about it.  You need to take this other form and fill it out and go stand in the other line.,135
"Come on!  You know -- you can't just take -- make a little exception to the rule?  I know that you guys make exceptions.  I see -- you know, if I was-if I was your friend and you knew me, or something like that, you'd probably make a little exception for me wouldn't you?",135
"They're different forms, we process them all different-",135
"Wouldn't you? Oh, come on.  you just tell me.  You would make an exception for me.",135
I -- there's no way I'd make an exception.,135
"Sir, don't patronize me.  I can't make an exception.  I don't- I don't have the power to do that.  It's a different form.",135
Shh...I know you've got the power to do that.,135
They're processed differently.,135
That's crap- You're crap.  I don't buy it.,135
"Sir, you're gonna have to go stand in the other line.",135
I'm not leaving this line until I get my new I.D.  That's as simple as it is.  I'm not leaving this line until I get my new I.D.,135
I'm gonna- I'm gonna bring security over and have them escort you out.,135
"Well, then you're just gonna look stupid because I'm just waiting for an I.D. and you're gonna make security take me out because I want my I.D.",135
That's just dumb.,135
But you filled out the wrong form and you're in the wrong line and you're wasting both of our times.,135
I filled out the wrong form because they made me fill out the wrong form!,135
"Well, that's unfortunate, sir.  You're gonna have to go stand in the other line now.",135
"This is crap.  You know, I don't even know why I'm in this state.  Screw California.  I'm out of here.",135
What is it?,136
"Sweetheart, I've got to tell you something.  I just got a call.  I'm going to Iraq.",136
What?,136
"I know it's really crappy timing, but I don't have a choice.",136
"What?  No, you can't!",136
I know. I have to go-,136
You didn't- Did you tell them you have two young children at home?,136
"You think they'd listen to me?  No.  Of course, I told them that.",136
And they didn't care?,136
No.,136
I don't know what to do.  I'm - Sorry,136
They can't do that to you.,136
I know.,136
"I don't have a choice.  I have to go.  If I don't go, they'll come and take me.",136
"No, we have- There's got to be something you can do.  You can't go.",136
I've tried everything.  I've called everyone I know.  I've tried everything. No one can do anything for me or they won't do anything for me.,136
How long do you have to go for?,136
At least a year.,136
What?,136
I know.,136
I don't want to -- the kids.  You've got to take care of them.  You've got- you've got to-,136
"tell them about me and show them pictures of me and everything like that, because they are not going to see me for such a long time.  And it's such an important time and I just don't want to miss it.",136
There's got to be something we can do.  You can't just go.,136
I don't know what to-,136
I don't have -- I know.  What are we gonna- What are we- just run away?  What can I do?  Where can we go?,136
Why don't we do that- Can we- Can we just leave the country?,136
Where are we gonna go?,136
Where are we gonna go?,136
I don't know.,136
They'll find me anyway.  You know they will.,136
What would be the worst that would happen if they found you somewhere else?,136
"They'd put me in jail and then how long- when will I get to see the kids?  What, ten years?  I don't know.",136
"Well, they're so young.",136
I know.  But I'll-I'll send the pictures all the time and I'll write them emails and you can read them the emails that I send them.,136
Where are you gonna be stationed?  What are you gonna be doing?,136
"I'm gonna be in Bagdad, just doing security.",136
"Are you gonna be like in tanks running around?  What- I mean, what does that mean?",136
"Yeah, it's gonna be everything.  I'm gonna be in the front.  I'll be -- it's not gonna be safe.",136
"Oh, my God.",136
I just want to be honest with you.  I don't want you to .,136
"but, it's gonna be fine.  I'm gonna be fine.  You know I'm good at this.  I can do this.  That's why I trained all this time.  I'm good at this.  Okay?",136
But so many people have died.,136
"I know.  I know.  I know.  But, you know what?  That doesn't mean it's gonna be me; does it?",136
"I know.  I know.  I know I know. You're good You're good at what you do, but there's just so much chance involved.",136
No.  It doesn't.  And you can't think like that.,136
"I mean, I-I know that you're a good soldier, but not everybody else is. and what if",136
I don't want you to -- I know.  I know. You can't worry about me.  You've got to worry about the kids.  And you've got to take care of the kids for me.  Okay?  Take care of the kids for me; all right?,136
"And you know my mom's here.  She'll come over and she'll be with you all the time, whenever you need her.",136
It's just so much.,136
"I'll miss you, baby.",136
[GARBAGE] You have to write me everyday.,136
"All- I'll write you everyday, all the time.  And I'll send you pictures and you send me pictures. I know We've got email out there.  We've got email and I can see stuff and you can send me stuff all the time.  Okay?",136
"Can I send you, like videos and stuff? What about when they start walking.",136
yeah yeah yeah.,136
You you record every second.  You record every second because I want to see it all.  Okay?,136
"If I don't get to see it now, I get to see it later at least, you know?  You've got to keep it all for me; all right?",136
okay.,136
I love you.  Okay?,136
[GARBAGE],136
Guess what?,137
what?,137
"I did it, I asked her to marry me.",137
What? you did?,137
"Yes, I did it.",137
When?,137
"Oh my god, it was just last weekend.",137
"Oh, what, how- where how did you do it?",137
"She--,well, she said yes, first of all, let me say that right off the bat. Well, I would like to assume, too.  But you never know these things, right?",137
Okay good. I I assumed.,137
"Um-, but no- It was It was great.  It was really great.  I think she was really surprised and she was really happy. um-",137
oh-,137
"I did it up at Yosemite.  We went camping right like we usually do.  You know we go camping up there all the time.  But, um- the waterfalls had died down a little bit, you know. And so uh- we-I had her climb up.",137
"You know- we did some- you know some rock climbing up the waterfalls and went up to this little pool that was up there.  And then, I- it's great. Um- You have to climb this little rock-",137
uh-huh,137
"and you can climb it and it's covered in algae you know. So, I wanted her to climb it to go take a picture, like, back in this little waterfall area, and she got back there and she took her picture. And then, I had her come back.  And I was going to do the same thing.",137
"Well, instead I climb up on the rock and like I- I didn't do it -- well, I did it on purpose. I made it look like I accidentally did it.  I slipped down into this pool of water, right?  And she freaks out because I slide all the way down this rock.  And um-",137
uh-huh,137
"And I pop up out of the water -- and I had planned it already, you know? I pop up out of the water and I [BREATHING] and I like, grab her hand, you know.  and that In my hand, I've got the ring.",137
"And she's like- she feels it you know and she doesn't know what it is.  And she you know helps me get out and I won't let go of her hand.  And she's like, what are you doing?  I and said, You saved my life, now will you marry me?",137
"Oh, my God.  That's so dramatic.",137
Wasn't that great? I didn't want it to be too hokey.but- but- She liked it.She liked it.,137
so cute.,137
"No, it's totally original, though.",137
oh.,137
"Yeah.  And she said yes.  And she cried, of course.",137
"Oh, Then you had a whole weekend of camping?",137
"Yes.  We did that in the beginning, exactly.  So we had, so we just had, you know, good times the rest of the weekend, yeah.",137
"Oh, right. sure [LAUGHTER]",137
It was a lot of fun- It was a lot of fun.  She's great.  And I'm so happy.,137
So where are you going to have your wedding?,137
"We're going to do it back in the Midwest where her family all is.  They're all out there. you know so, Um  And so, just gonna have a small, small wedding. But, um- you know, of course, you're going to come, right?",137
Yeah. of course.,137
Okay good. And uh- I want you to be in it actually.,137
Okay Okay.,137
"Um- And she wants you to be in it, too.  She loves you so much. She thinks you're the sweetest.  Of course, you are.  You're You're my best friend so-",137
Awe.,137
Where is she right now?,137
"oh, She's back at work. yeah.",137
"Yeah,I'll hang out with the both of you.",137
Of course.  We'll go out to dinner later this week.,137
yes.,137
It will be perfect.,137
Oh I'm so excited for you.,137
"Yes, me too. Oh I am so in love.",137
oh.,137
She's the one.,137
"Oh, my gosh.  You told your parents already? and everything",137
Of course.  I told them right away.  We called them all right them.,137
Are they so excited?,137
"Oh, yeah.  My mom's freaking out. Oh yeah, She's so happy. this is you know  It's her dream come true.  She always wanted her little boy -- she wants kids, you know.",137
She wants grandkids. So we'll be working on that right away.,137
right right.,137
Are you guys gonna have kids?,137
"Of course, we're gonna have kids, like three at least.",137
Yeah?,137
"Whoa, right away?.",137
"She wants like eight- She wants like eight kids and I'm like, no, no, no, no, no.  I am like what Let's do maybe three and we'll go with that.",137
Are you going to start right away?,137
"Well, we're going to take a little bit of time, you know, we need to get acclimated and you know start our lives, make money, you know be comfortable.",137
"Yeah, have you ever like lived with someone else before?",137
"Oh, yeah, yeah, yeah, yeah I mean, actually we lived together awhile back when we -- Yeah, back in college for a little while. yeah.",137
"Oh, did you?  I didn't know that.",137
oh.,137
But that- so we are really used to each other. We took the time apart and now we're going to get back together.  We're going to move in soon.,137
Oooh,137
it's great. I'm a lucky man.,137
"That's incredible yeah ,Congratulations.",137
Thank you.,137
"Uh, God.  I don't know what to do anymore.  Like I said --",138
What do you mean?,138
"I don't know.  There's nothing for me out there.  I can't get a job.  I haven't gotten a job in a year, three years.  What is it, three years now; right? That I haven't been able to have a job.",138
Really? It's been that long?,138
"Something like that.  I can't even remember anymore. I don't know what to do anymore.  I just get out there everyday -- well, not everyday, almost everyday.",138
Wow.,138
And try to do something. I mean-,138
What have you been trying?,138
"Well, everything.  I'll do temping, you know, office work.  You know, whatever to pay the bills.  You know, I'll do anything.",138
"But, I mean, I don't want to keep those jobs.  I don't want those jobs.It's not what I want to do.",138
Right.,138
"But, I don't know.  God, what am I going to do?  Should I go back to school?  I can't- I can't afford to go back to school.",138
What do you do?,138
"Well, I mean, right now I'm just doing a little bit of everything.  And I don't- I don't think that I'm in like a profession, like career oriented place.",138
"You plan on being there forever? I mean, Like, what do you --",138
"No.  I'm just working in restaurants and stuff. But, I'm also trying to audition and what not.  So, it's --",138
yeah.,138
right.,138
"Yeah, yeah.  Well, hello.  That's what I'm doing too.  But I can't get the restaurant job.  I can't get -- -- the restaurant gig.  No one will give me anything.",138
Really?,138
"I go in for these interviews, and they're all cool and everything, you know.  Their nice and I'm nice to them, you know, give and take, back and forth, and whatever.",138
But they always go with somebody else.,138
"L.A. is really hard.  I mean, have you tried like just going into a bar a couple of times to make friends with people who work there? and",138
"Yeah, absolutely.  Hello?  You know me.  I go to bars all the time.  Like, they all know me, you know.  But no one wants to hire me.",138
"but Maybe they don't want to hire me because they know me. I don't know, what's wrong with me, Is there something wrong with me?",138
"I was just going to say that's your issue. Maybe you are going in too much. No, I mean, just",138
are you going into the bars every night?,138
"I mean, You can tell me what.  Why is no one hiring me?  Is it me?  Be honest.  You can tell me. you know I can take it.  I can take it, you just tell me. Why?",138
"Well, I don't really know.  I don't I don't know you in like a job situation, so.",138
"Yeah, but I'm -- okay, well how about personality wise?  I mean, people who know me won't hire me.  Why?",138
"Wow.  I don't -- I mean, do you- do you have an attitude problem when you're on the job?",138
"I don't think I have an attitude problem when I'm on the job, no- I have an attitude problem right now because I don't have a job.",138
Maybe [garbage].,138
"Right.  Maybe you have, like, you know a little bit of an abrasive vibe or something.",138
An abrasive vibe?,138
I don't know.  I'm I'm just trying --,138
"Let me know that's -- that's fine.  You think I have an abrasive vibe, whatever.  You're entitled to your opinion, of course.  Maybe that's why I don't have a job.",138
Are you getting defensive?,138
"No.  I'm not getting defensive.  I'm not getting defensive.  No. I asked you a question, you told me.  What?",138
Yeah.  That might be something you want to look at.  I mean --,138
"I'm not like this all the time.  I mean, I don't -- I'm just frustrated right now, all right.  I just want to do --",138
Okay.,138
"I want to make some money.  I need to make some money.  I've got to pay some bills, I owe people money.  I owe lots of people money.  I need to make some money.",138
I understand.,138
"Yeah, it's stressful.  I recognize that.",138
"Do you have any idea how I can make money?  I mean, what can I do to make some quick money, something?  Anything, that's relatively within the you know law.",138
ah.,138
"Not- Not selling pot, right?",138
"Right, probably not selling pot. I don't want to go to jail.",138
Okay so.,138
Fair enough.,138
Because that would just really be a topper for me.,138
Yeah.  [LAUGHTER] It's a joke.,138
Thank you.  Ha ha.,138
"Sorry.  So, let's see.  What else?  What's available? What? Um.  Hmm.",138
See what I mean?  You can't even think of anything.,138
"Well, not off the top of head.  It will just take you know take a minute.  But do you have any, like, special skills?",138
I can juggle.,138
"Well, maybe we can find you something with juggling.",138
I've tried.,138
Have you checked out Craig's List and stuff?,138
Yes!  Nobody wants a juggler.  I am not going to -- I'm not going to dress up like a clown. I'm not going to dress up like a freaking clown. No.,138
"What if you do kids parties? oh, come on.",138
"No, it's demeaning.  I am not a clown.  I have talent.  Clowns don't have talent.",138
Okay.  All right.,138
It's that simple.,138
"Okay.  Well, fine. we won't- I won't argue with you about that.",138
yeah.,138
What else?  I can't -- uh.  I'm drawing a blank here.,138
You and me both.,138
"That's rough.  I'm really sorry, Ryan.",138
"Yeah, life sucks.",138
"Well, um, is that kinda like the side of you that you let people see when you go into these job interviews?",138
"No, I just showed that for you [garbage].",138
"Okay.  Well, that's good.  Yeah, I mean, you're you're- when you're happy you're a pretty personable guy.  And I don't --I don't",138
I like to think so.,138
I can't see where the issue would be. so,138
see.,138
"Yeah, well thanks for your help.",138
"I'm sorry.  Good luck, man.",138
I'll need it.,138
Hi. Um-  My luggage didn't come out of the conveyor thingy.,139
Hmm. Hmm.,139
"So, um, what do I do?",139
How long ago was that?,139
"Uh- Like, an hour and a half ago.  I talked to somebody who was standing out there and they said wait.  Sometimes like random butt- pieces come out late.",139
Uh-Hmm.,139
"And so I waited there, but nothing came.",139
"Um, okay.  Well, you can fly- file a claim.  Where were you coming from?",139
"I was coming from um the Midwest, like Iowa.",139
"So, within the country, though? umm",139
"Yeah, I know I was in the country.  I mean, it's not that complicated.",139
"Yeah, well the chances of it being lost forever, you know, are slight because -- -- you were in the --",139
"Well, I would hope so.",139
"Well, I mean, you know that happens pretty often that sometimes baggage -- -- gets lost.",139
People lose --,139
forever?,139
yeah.,139
"You know, this is actually, I mean it's -- it's a really important piece of luggage.",139
Okay.,139
"I mean, it's not big or anything like that.  I mean, it's not worth a lot of money or anything.",139
Did you have insurance on your flight?,139
"No.  I mean, don't you get insurance when you buy your ticket or something?",139
"No, you have to buy it now.  It's like thirty dollar extra.",139
"Well, no one even told me about that.  Like, why would I think to buy insurance?  I was- It's like a three hour flight.",139
"well, it's something that worth",139
"yeah, I don't know.",139
"How can you lose my luggage like from like, in --",139
Chances are it's probably just you know -- taking time being um- unloaded from the airplane.,139
-- four hundred miles?,139
"I should hope so.  You know, I need that today.",139
"Um, well, there's not much I can do.  I can, you can file this report and we'll call you when it comes in.",139
"Let me explain to you what the problem is.  My grandfather's remains are in that bag.  And I have to, like, distribute them today.  We're suppose to, you know, throw them out to the sea today.",139
wow.,139
"Wow.  Well, that's really important, obviously.  But, um --",139
"Yeah.  I mean, if you have a suggestion, like, it would be great to help me out here.",139
"Uh- Actually, I don't know that that's legal. Um- it is the issue",139
"Well, I don't care if it's legal.  It's happened.  It's already done.",139
"Yeah I mean, Your bag might have been confiscated because it's --",139
"Well, could you tell me if it's been confiscated then.",139
-- it's a biohazard. so- um,139
"I mean, some information here would be great.  Some help.  Can you, like, type something in and find out?",139
Yeah.  Let me just call security.,139
That would be great.  Thank you very much.,139
[LAUGHTER] Okay.  Hold on.,139
Thank you,139
"Ryan, what's wrong?",140
I just got some bad news.,140
What?,140
"My friend, Shotty, passed away.",140
"Oh, I'm so sorry",140
"The end, he's been sick for awhile.  He had cancer.",140
"Oh, my gosh.",140
"Yeah.  It's just, I never thought it would actually happen, you know? I mean- He's such a fighter and he's always so positive about everything.",140
Yeah.,140
"You know, he was gonna, and we -- all the way up to the end we were just talking about how- you know all the stuff we were gonna do and, you know.  When he finally kicked this stupid cancer, you know, and we were gonna --",140
"he wanted to travel, you know.  And he's so talented.  Probably the most talented person I have ever met in my entire life.",140
Yeah.,140
What did he do?,140
"He was a designer, you know.  But he did everything. You know, He painted and he- and he did costume design, he did set design, he did lighting, he was --",140
"he just did everything.  He was literally, literally the most talented guy I have ever met in my entire life.",140
And he's gone now and I  -- I just can't believe it.,140
Yeah.  I'm so sorry.,140
"I mean, one second you think, you know, you're just having a conversation and then --",140
"you know, sometimes you think you want to make that phone call, or you think you want to tell somebody something, or something like that.  Do you know what I mean?  Like that's -- he was the person that I did that with.  You know, like, that's the person who I needed to call to tell things to all the time.",140
You guys have been-,140
"And now I don't have that person anymore, you know.  And it's -- -- it's just, you.",140
Yeah.,140
"You think that things get easier, you know, as you as you get older and you -",140
"and it just gets worse.  It just gets worse, everything is bad all the time; people die, your friends die, family dies, your best friends die. it's-",140
I'm sorry. I-,140
"You always think, you know when you were- you know when you were a little kid and you think something is gonna happen, like, it will all be better when I am older, you know?",140
"And I don't know why people don't just tell you off the bat that it's just gonna suck anyway.  You know, like, what's the point?",140
"All the best people die, all the bad people live and they make life shitty for you anyway.",140
"Wow, Ryan I know that you are hurting right now but I don't think you always feel like that.",140
"No, you're right.  I don't.  You're right.",140
"Even, yeah -- he doesn't he would never feel that way, he would never want me to feel that way.  Of course not, but that's just where I am right now and -- -- I don't know what else to do with it.",140
Yeah. I understand.  I think it's really healthy to grieve.,140
I just miss him.,140
If there's anything I can do to be there for you.,140
Thanks.,140
Guess what?,141
What?,141
I got it.  I got accepted to U.S.C..,141
"Oh, for real?",141
Yes! I just found out today.  I just got the letter.,141
That's awesome!,141
"oh,I'm so glad.",141
I know. I know.  I'm so excited.,141
What are you gonna study?,141
"oh, Theater. yeah, yeah.",141
Really? Are you doing the M.F.A. program?,141
yes.,141
"Oh, my gosh.",141
oh-,141
I heard it's so tough to get into.,141
It's exactly what I wanted.,141
"Oh, of course.  No.  I didn't know it was that tough.  I'm just happy that I made it.",141
That's awesome.,141
"I worked really hard, I'll say, I worked really hard. You know, I I'm not bragging or anything like that. But-",141
"Yeah, that's awesome.",141
No.,141
"No, No, I'm really looking forward to it.  You know how long -- I have been talking about this forever, right? right?",141
"Uh huh.  Yes, seriously, for years.",141
"Finally.  I'm so excited.  We're gonna -- well, I'll be here.  We're still gonna be able to see each other.",141
I know.  I know.  I'm- I'm definitely -- I realize [LAUGHTER].,141
"We're gonna hang out, right?",141
"What are you, wait, what are you doing?",141
"Um- I'm gonna be studying at U.S.C., too.",141
"Perfect!  Oh, my God.  Are you staying, are you going to live on campus?",141
"Not on campus, but um- I probably won't live too far.  Maybe, I don't know, I might go to Silver Lake or something.",141
We are gonna party all the time.,141
Yeah.  Totally- Well where are you going to live?,141
We are gonna have a great time.,141
"[garbage] I'm going to live on campus.  I mean, well, around campus, anyway.  Yeah, housing around campus.",141
Oh yeah.,141
Good tradeoff,141
"I just want to be really close to things, you know.  I know it's not exactly the best neighborhood in the entire world. But uh-",141
I don't- I don't think it's that bad.,141
"I don't- you know ,I feel the same way, you know what I mean.  And everybody says a lot of other crap you know, they don't know what they are talking about anyway.",141
yeah.,141
"They don't live here.  They don't know, right?",141
"Yeah. I think it's really also if you- if you consider yourself like, us and them, kind of thing- If you think you're part of your community then --you going to like it more",141
yeah.,141
Exactly.  You make it what you make it. You know? Right? And I'm gonna make it so freaking awesome.,141
"Right, Exactly.",141
Oh I'm so glad.,141
yeah.,141
"So when do you know, like, where you're gonna live? and-",141
"Well, I don't know.  I've got to go look for a place.",141
"Oh, wow.",141
"Yeah, yeah.  I- I don't- I don't know.  Do you have any suggestions?",141
Um-,141
You know the area better than I do.,141
"Yeah.  I mean, I know, I know, like the- the housing surrounding the campus pretty well.",141
"yeah, yeah?",141
Um- How many people do you want to live with?,141
"Not a lot.  I mean, I wouldn't want to live with more than three other people.  So, like four of us total, right?",141
All dudes?,141
I don't care. I don't care.,141
Um- I think I have some friends.,141
